address,area,project,price,property_status,price_per_m2,bedroom,toilet,floornumber,property_legal,furniture,balconydirection,direction,apartment_feature
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","3,19 tỷ",Hoàng Anh Gold House (Hoàng Anh An Tiến),121 m²,Chưa bàn giao,"26,36 triệu/m²",3 phòng,2 phòng,23,Đã có sổ,Hoàn thiện cơ bản,Bắc,Đông Nam,Căn góc
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","5,15 tỷ",The Sun Avenue,90 m²,Đã bàn giao,"57,22 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,Nội thất đầy đủ,,,Căn góc
"Lê Văn Khương, Phường Thới An, Quận 12, Tp Hồ Chí Minh","2,6 tỷ",Võ Đình Apartment,83.5 m²,Đã bàn giao,"31,14 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,Tây,Đông,
"Lô 13E, 7, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","2,45 tỷ",Terra Rosa,127 m²,Đã bàn giao,"19,29 triệu/m²",3 phòng,,4,Đã có sổ,,Đông Bắc,Tây Bắc,Căn góc
"Cao Bằng, Phường Tam Phú (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,4 tỷ",Fiato Premier,87 m²,Chưa bàn giao,"16,09 triệu/m²",2 phòng,,7,,,Bắc,Nam,Căn góc
"Đường Lý Nam Đế, Phường 7, Quận 11, Hồ Chí Minh, Phường 7, Quận 11, Tp Hồ Chí Minh","1,36 tỷ",Tân Phước Plaza,75 m²,Đã bàn giao,"18,13 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",Ricca,47 m²,Đã bàn giao,"36,17 triệu/m²",1 phòng,1 phòng,,,,,,
"49, 8, Phường 8, Quận 8, Tp Hồ Chí Minh","3,45 tỷ",Diamond Lotus Riverside,58 m²,Đã bàn giao,"59,48 triệu/m²",2 phòng,,16,Giấy tờ khác,Nội thất đầy đủ,,Tây Bắc,Căn góc
"Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","2,88 tỷ",Green Town Bình Tân,90 m²,Đã bàn giao,32 triệu/m²,3 phòng,2 phòng,,,,,,
"Đường Nguyễn Văn Linh, Phường 7, Quận 8, TP. Hồ Chí Minh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,75 tỷ",Dream Home Riverside,75 m²,Chưa bàn giao,"23,33 triệu/m²",3 phòng,2 phòng,5,Đang chờ sổ,Nội thất cao cấp,Tây Bắc,Đông Nam,Căn góc
"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","2,38 tỷ",Mizuki Park,56 m²,Chưa bàn giao,"42,5 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","3,6 tỷ",Eco Green Sài Gòn,70 m²,Đã bàn giao,"51,43 triệu/m²",2 phòng,2 phòng,,,Nội thất cao cấp,,,Căn góc
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","3,18 tỷ",Saigon South Residences,76 m²,Đã bàn giao,"41,84 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp,,,Căn góc
